"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
43,"blue-collar","married","basic.4y","no","yes","no","cellular","may","tue",1182,1,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"yes"
40,"blue-collar","single","basic.9y","no","no","no","telephone","jun","mon",121,5,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
42,"technician","divorced","professional.course","no","yes","no","cellular","aug","mon",72,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
27,"blue-collar","married","basic.9y","","yes","no","cellular","apr","mon",294,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
47,"self-employed","married","basic.4y","","no","no","cellular","may","thu",168,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
24,"student","single","high.school","no","no","no","telephone","may","thu",597,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
79,"retired","married","high.school","no","yes","no","cellular","may","thu",196,2,999,0,"nonexistent",-1.8,93.876,-40,0.699,5008.7,"no"
33,"technician","divorced","high.school","no","yes","no","cellular","may","tue",175,1,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
27,"admin.","single","high.school","no","yes","yes","cellular","may","thu",99,7,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
30,"admin.","married","university.degree","no","no","no","cellular","jul","wed",397,6,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
60,"admin.","married","","","no","yes","telephone","may","mon",213,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
31,"admin.","married","university.degree","no","no","no","cellular","aug","thu",366,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
59,"blue-collar","married","basic.9y","no","yes","yes","cellular","may","tue",242,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no"
27,"technician","single","university.degree","no","no","no","cellular","may","thu",68,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.27,5099.1,"no"
32,"admin.","married","university.degree","no","yes","no","cellular","may","mon",188,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
32,"housemaid","single","basic.4y","no","yes","no","telephone","may","thu",117,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
48,"management","married","basic.9y","no","yes","no","telephone","jun","fri",384,2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
33,"admin.","single","high.school","no","yes","no","cellular","jul","fri",516,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes"
45,"blue-collar","divorced","basic.4y","no","yes","no","cellular","jul","wed",112,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
32,"blue-collar","married","basic.6y","","yes","no","cellular","nov","wed",154,2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
39,"services","married","high.school","","yes","yes","telephone","may","fri",186,4,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no"
49,"housemaid","married","professional.course","no","no","no","telephone","may","thu",565,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
42,"blue-collar","married","basic.4y","no","no","no","cellular","may","mon",212,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
34,"technician","married","university.degree","no","yes","no","cellular","aug","fri",643,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
55,"admin.","married","professional.course","","yes","yes","telephone","nov","tue",514,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"yes"
37,"services","married","high.school","no","no","yes","cellular","jul","tue",126,3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
35,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","mon",330,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
33,"blue-collar","married","basic.9y","no","no","no","cellular","may","wed",353,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
51,"admin.","divorced","university.degree","no","yes","no","cellular","may","tue",41,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
36,"entrepreneur","married","university.degree","no","yes","no","telephone","may","thu",23,15,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
31,"admin.","single","high.school","no","yes","no","cellular","nov","wed",456,2,999,0,"nonexistent",-1.1,94.767,-50.8,1.044,4963.6,"yes"
38,"entrepreneur","single","basic.4y","no","yes","yes","cellular","apr","mon",7,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
42,"blue-collar","married","basic.4y","","yes","yes","telephone","may","fri",588,3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
50,"technician","married","university.degree","no","yes","no","cellular","aug","tue",541,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
36,"technician","married","professional.course","no","yes","no","cellular","may","thu",191,1,999,1,"failure",-1.8,92.893,-46.2,1.327,5099.1,"no"
33,"admin.","married","university.degree","no","no","no","telephone","may","wed",55,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
39,"housemaid","married","university.degree","no","yes","no","telephone","may","tue",260,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
23,"admin.","married","high.school","no","no","yes","cellular","may","thu",7,5,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
43,"management","married","university.degree","no","yes","no","telephone","nov","mon",49,2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
30,"blue-collar","single","basic.9y","no","no","yes","cellular","may","thu",252,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
24,"blue-collar","single","basic.9y","no","yes","yes","cellular","jul","mon",449,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
60,"housemaid","married","basic.4y","no","yes","no","cellular","jul","thu",503,2,5,2,"success",-2.9,92.469,-33.6,1.072,5076.2,"yes"
34,"admin.","single","university.degree","no","no","no","cellular","nov","thu",135,1,6,1,"success",-3.4,92.649,-30.1,0.714,5017.5,"yes"
55,"admin.","married","high.school","no","yes","yes","cellular","aug","wed",61,3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
29,"admin.","single","university.degree","no","yes","no","cellular","jul","mon",110,2,999,1,"failure",-1.7,94.215,-40.3,0.889,4991.6,"no"
31,"technician","single","university.degree","no","yes","yes","telephone","nov","fri",30,3,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
58,"housemaid","married","university.degree","no","yes","no","cellular","jul","tue",597,5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
58,"blue-collar","married","basic.4y","no","yes","no","cellular","jun","wed",110,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"yes"
32,"technician","married","high.school","no","no","no","cellular","may","fri",428,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
31,"blue-collar","single","high.school","","yes","no","telephone","may","mon",93,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
59,"management","married","university.degree","no","no","yes","cellular","aug","mon",168,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
50,"blue-collar","divorced","basic.4y","no","no","no","cellular","jul","thu",150,5,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
33,"blue-collar","single","basic.9y","","yes","yes","telephone","may","fri",97,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
58,"admin.","married","high.school","no","yes","yes","cellular","aug","tue",314,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
38,"unemployed","single","high.school","no","yes","no","cellular","aug","mon",712,2,999,0,"nonexistent",-2.9,92.201,-31.4,0.843,5076.2,"yes"
20,"student","single","basic.4y","no","yes","yes","cellular","apr","tue",278,4,6,1,"success",-1.8,93.749,-34.6,0.644,5008.7,"yes"
43,"services","married","basic.6y","","no","no","cellular","jul","mon",463,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
48,"technician","married","high.school","no","no","no","telephone","may","fri",601,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
63,"retired","married","basic.4y","no","no","no","cellular","aug","thu",163,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.904,4991.6,"no"
28,"admin.","single","university.degree","no","no","no","telephone","jul","fri",46,3,999,0,"nonexistent",1.4,93.918,-42.7,4.959,5228.1,"no"
27,"admin.","single","university.degree","","yes","no","cellular","jul","tue",77,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
21,"student","single","high.school","no","no","no","cellular","aug","thu",185,2,4,2,"success",-2.9,92.201,-31.4,0.873,5076.2,"no"
45,"unemployed","divorced","high.school","no","yes","yes","cellular","may","wed",274,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
37,"services","single","basic.9y","no","yes","no","cellular","nov","mon",283,2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
42,"blue-collar","single","basic.9y","","yes","no","cellular","may","thu",16,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
56,"unemployed","married","professional.course","no","no","no","cellular","sep","fri",1551,1,999,2,"failure",-3.4,92.379,-29.8,0.762,5017.5,"no"
49,"blue-collar","married","basic.4y","","no","no","telephone","may","mon",252,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
40,"technician","single","professional.course","no","no","no","cellular","aug","wed",113,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
35,"technician","divorced","professional.course","no","no","no","telephone","may","wed",120,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
27,"blue-collar","single","basic.6y","no","no","yes","cellular","jul","tue",153,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
36,"admin.","single","high.school","no","yes","yes","cellular","may","fri",10,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
44,"technician","married","professional.course","no","yes","no","telephone","may","thu",515,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
30,"blue-collar","single","high.school","no","yes","no","cellular","nov","thu",293,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
45,"blue-collar","married","basic.6y","","yes","no","telephone","jun","wed",55,1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
41,"blue-collar","married","basic.9y","","no","no","telephone","jun","tue",110,2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
46,"blue-collar","married","basic.9y","","no","no","telephone","may","mon",886,3,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
24,"blue-collar","married","basic.9y","","no","no","cellular","jul","wed",349,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes"
58,"technician","married","high.school","no","yes","yes","telephone","aug","thu",64,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
23,"admin.","single","high.school","no","yes","no","cellular","may","thu",638,1,6,1,"success",-1.8,92.893,-46.2,1.266,5099.1,"no"
44,"self-employed","married","professional.course","no","yes","yes","telephone","jun","fri",47,2,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
32,"blue-collar","married","basic.9y","no","yes","no","telephone","may","fri",280,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
32,"management","single","university.degree","no","no","yes","cellular","nov","wed",541,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
59,"blue-collar","married","basic.4y","","no","no","cellular","aug","wed",413,4,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
34,"technician","married","university.degree","no","no","no","cellular","apr","thu",82,6,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"no"
39,"unemployed","married","basic.9y","","yes","no","telephone","jun","tue",605,5,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
33,"blue-collar","married","basic.6y","no","yes","no","telephone","may","wed",134,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,"unemployed","married","university.degree","","yes","no","telephone","jun","wed",174,1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
56,"entrepreneur","married","university.degree","no","yes","no","cellular","nov","wed",501,2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
32,"self-employed","married","high.school","no","yes","no","cellular","aug","thu",151,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
38,"blue-collar","divorced","high.school","no","yes","no","cellular","may","thu",158,1,999,1,"failure",-1.8,92.893,-46.2,1.327,5099.1,"no"
27,"technician","single","professional.course","no","no","no","cellular","jul","thu",234,1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
52,"retired","married","university.degree","no","no","no","cellular","nov","mon",147,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
40,"services","divorced","high.school","no","yes","no","cellular","may","mon",262,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
28,"unemployed","single","university.degree","no","","","telephone","jul","wed",167,1,999,0,"nonexistent",-2.9,92.469,-33.6,1.029,5076.2,"no"
26,"admin.","married","university.degree","no","yes","yes","telephone","may","wed",56,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
58,"retired","married","professional.course","no","no","no","cellular","nov","fri",127,1,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,"no"
38,"technician","single","university.degree","no","no","no","cellular","nov","tue",131,1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
44,"services","divorced","high.school","","no","no","telephone","may","wed",220,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
37,"technician","married","professional.course","no","yes","no","cellular","jul","fri",328,3,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
31,"technician","single","high.school","no","no","no","cellular","may","wed",37,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
48,"technician","married","university.degree","no","no","no","cellular","aug","fri",607,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
30,"technician","married","basic.9y","no","no","no","cellular","may","wed",226,4,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no"
36,"management","married","basic.9y","no","yes","no","cellular","may","wed",503,2,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
44,"blue-collar","single","basic.9y","no","yes","no","cellular","apr","tue",581,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.453,5099.1,"no"
58,"entrepreneur","married","university.degree","","yes","yes","telephone","jun","thu",43,1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
58,"housemaid","single","professional.course","no","no","yes","cellular","apr","thu",335,1,999,0,"nonexistent",-1.8,93.749,-34.6,0.64,5008.7,"yes"
46,"housemaid","married","basic.9y","no","yes","no","cellular","aug","tue",459,2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
30,"technician","single","university.degree","","yes","no","cellular","aug","thu",133,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
46,"admin.","divorced","university.degree","no","no","no","cellular","nov","thu",60,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
46,"admin.","married","high.school","no","no","yes","cellular","aug","wed",871,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
33,"blue-collar","married","basic.9y","no","no","no","cellular","nov","mon",218,2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
57,"retired","married","university.degree","no","no","no","cellular","apr","thu",81,1,999,1,"failure",-1.8,93.075,-47.1,1.365,5099.1,"no"
33,"blue-collar","single","basic.9y","no","no","no","telephone","may","wed",159,2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
44,"blue-collar","married","basic.6y","","no","no","cellular","jul","thu",168,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
46,"technician","married","university.degree","no","no","no","cellular","aug","fri",74,3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
58,"admin.","married","basic.4y","","no","no","cellular","may","fri",901,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"yes"
41,"admin.","single","high.school","no","no","no","telephone","may","mon",168,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
54,"unemployed","married","high.school","","no","no","telephone","jul","tue",28,2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
30,"technician","divorced","university.degree","no","no","no","cellular","aug","mon",731,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
32,"blue-collar","divorced","basic.9y","no","no","no","cellular","jul","thu",624,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
32,"blue-collar","married","basic.9y","no","yes","no","cellular","may","fri",297,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
46,"management","divorced","university.degree","no","yes","no","cellular","jul","fri",317,6,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
51,"retired","married","basic.9y","no","no","no","telephone","may","tue",166,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
57,"retired","married","basic.4y","no","no","no","telephone","jun","fri",83,3,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
39,"technician","single","professional.course","no","no","no","telephone","jul","thu",206,1,999,0,"nonexistent",1.4,93.918,-42.7,4.966,5228.1,"no"
42,"admin.","married","high.school","no","yes","no","cellular","nov","mon",131,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
29,"admin.","divorced","basic.9y","no","yes","no","cellular","apr","fri",321,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
54,"technician","divorced","university.degree","no","no","no","cellular","may","wed",91,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
46,"services","divorced","high.school","no","no","no","cellular","apr","mon",211,2,999,1,"failure",-1.8,93.075,-47.1,1.466,5099.1,"no"
49,"blue-collar","married","","","no","no","telephone","may","thu",246,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
32,"services","single","basic.6y","no","yes","yes","telephone","may","mon",112,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
28,"admin.","married","high.school","no","no","no","telephone","may","tue",337,6,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
22,"blue-collar","single","basic.4y","","yes","no","cellular","jul","fri",25,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
38,"blue-collar","married","basic.6y","no","yes","no","cellular","may","thu",15,9,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
48,"blue-collar","married","basic.9y","no","yes","no","cellular","may","fri",36,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
23,"blue-collar","married","high.school","no","no","yes","telephone","jun","thu",173,3,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
31,"technician","married","high.school","no","yes","yes","cellular","nov","thu",435,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
34,"technician","married","professional.course","no","no","no","telephone","mar","mon",80,4,999,0,"nonexistent",-1.8,92.843,-50,1.629,5099.1,"no"
40,"admin.","divorced","university.degree","no","yes","no","telephone","may","tue",189,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
27,"admin.","married","professional.course","no","yes","no","cellular","may","thu",1166,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
36,"admin.","single","university.degree","no","no","no","cellular","may","mon",327,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.264,5099.1,"no"
31,"blue-collar","married","basic.9y","no","yes","no","cellular","apr","thu",172,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no"
52,"blue-collar","married","basic.9y","no","no","yes","cellular","aug","fri",112,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
49,"admin.","married","university.degree","no","no","no","cellular","may","wed",155,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
37,"technician","married","professional.course","no","no","no","cellular","aug","mon",275,6,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
58,"retired","divorced","professional.course","no","no","no","cellular","nov","fri",159,2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
45,"admin.","married","university.degree","","yes","no","cellular","jul","mon",478,11,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
41,"blue-collar","married","basic.6y","no","no","no","cellular","may","tue",131,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no"
57,"admin.","single","university.degree","no","no","no","cellular","jul","wed",341,4,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
46,"admin.","married","high.school","no","no","no","cellular","aug","mon",428,2,999,3,"failure",-1.7,94.027,-38.3,0.898,4991.6,"no"
37,"admin.","divorced","basic.9y","","yes","no","telephone","jun","mon",303,2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
25,"admin.","single","high.school","no","no","yes","telephone","may","thu",311,3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
51,"blue-collar","married","basic.4y","no","yes","no","telephone","may","wed",438,2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
32,"services","single","high.school","no","no","no","telephone","may","fri",557,4,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
35,"services","single","high.school","no","yes","yes","telephone","may","thu",151,7,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
27,"blue-collar","married","basic.6y","","","","telephone","may","tue",1063,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"yes"
27,"blue-collar","single","high.school","no","no","no","cellular","oct","tue",253,1,999,2,"failure",-1.1,94.601,-49.5,0.982,4963.6,"yes"
39,"technician","married","professional.course","no","no","no","telephone","may","thu",173,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
49,"admin.","divorced","university.degree","no","no","no","telephone","jun","wed",141,2,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
47,"blue-collar","married","basic.4y","no","no","no","telephone","may","fri",285,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
46,"services","married","high.school","no","no","no","telephone","apr","mon",60,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
37,"technician","married","high.school","no","no","no","cellular","aug","tue",190,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
30,"services","married","","no","yes","no","telephone","jun","wed",597,10,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
47,"services","divorced","basic.4y","no","yes","no","telephone","jun","fri",60,6,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
42,"admin.","divorced","university.degree","no","yes","no","cellular","sep","wed",211,1,999,1,"failure",-1.1,94.199,-37.5,0.886,4963.6,"no"
35,"technician","single","high.school","no","yes","no","cellular","aug","mon",87,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
36,"admin.","married","high.school","no","no","no","cellular","mar","tue",168,1,999,0,"nonexistent",-1.8,92.843,-50,1.799,5099.1,"yes"
49,"blue-collar","married","basic.6y","no","yes","no","telephone","may","wed",97,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
38,"blue-collar","married","basic.4y","no","no","no","telephone","may","mon",241,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
26,"blue-collar","single","basic.9y","no","yes","no","cellular","may","thu",535,1,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
